역명,요일구분,시간대,해당시간이용객,혼잡수준,환승역여부
서울역,평일,07:00-09:00,25000,매우혼잡,Y
서울역,평일,10:00-12:00,7000,보통,Y
서울역,평일,14:00-16:00,5000,낮음,Y
교대역,평일,07:00-09:00,19000,매우혼잡,Y
교대역,평일,10:00-12:00,5500,보통,Y
용산역,평일,07:00-09:00,12000,혼잡,Y
용산역,평일,14:00-16:00,4000,낮음,Y
강남역,평일,07:00-09:00,32000,매우혼잡,N
강남역,평일,10:00-12:00,9000,보통,N
강남역,평일,14:00-16:00,7000,보통,N
구로역,평일,07:00-09:00,8000,혼잡,Y
구로역,평일,14:00-16:00,2500,낮음,Y
서울역,평일,17:00-19:00,23000,매우혼잡,Y
서울역,평일,22:00-24:00,2800,낮음,Y
교대역,평일,17:00-19:00,17500,매우혼잡,Y
교대역,주말,10:00-12:00,4200,낮음,Y
용산역,주말,12:00-14:00,9500,혼잡,Y
용산역,평일,22:00-24:00,1800,낮음,Y
강남역,평일,17:00-19:00,30000,매우혼잡,N
강남역,평일,22:00-24:00,6500,보통,N
구로역,평일,17:00-19:00,7200,혼잡,Y
구로역,주말,14:00-16:00,2100,낮음,Y
